kernel,bop/s,elapsed_ms,ndim,n_vectors,n_queries,knn
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,83.64301006697036,25.07265100001632,128,8192,1000,10
JACCARD_B128_VPOPCNTQ_PDX,176.6589384340629,11.871190999954706,128,8192,1000,10
JACCARD_B128_VPSHUFB_PDX,149.11778726099723,14.063727999996445,128,8192,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,162.80236387071486,12.881582000034086,128,8192,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,185.54716254649682,11.302527999987433,128,8192,1000,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,166.00748713122468,12.63287599999785,128,8192,1000,10
JACCARD_U64X2_C,145.38315406890317,0.028850000035163248,128,16384,1,10
JACCARD_B128_VPSHUFB_SAD,55.90094761249667,0.07503099999439655,128,16384,1,10
JACCARD_B128_VPOPCNTQ,77.92193502355933,0.053827000044748274,128,16384,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,67.12819688573212,0.06248200003255988,128,16384,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,95.29910014530111,0.044012000046222965,128,16384,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,81.56633354590922,0.051421999955891806,128,16384,1,10
JACCARD_B128_VPOPCNTQ_PDX,168.0073705475282,0.024964999965959578,128,16384,1,10
JACCARD_B128_VPSHUFB_PDX,139.707681146451,0.03002199997581556,128,16384,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,159.38833356696748,0.026315000013710232,128,16384,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,179.78156897786423,0.023329999976340332,128,16384,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,157.62726878591883,0.026609000030930474,128,16384,1,10
JACCARD_U64X2_C,196.8620750763666,0.21305800004256525,128,16384,10,10
JACCARD_B128_VPSHUFB_SAD,59.18281706270907,0.708702999986599,128,16384,10,10
JACCARD_B128_VPOPCNTQ,83.21420847386936,0.5040370000415351,128,16384,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,68.6075829319727,0.6113469999604604,128,16384,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,111.94094301861841,0.37468900001158545,128,16384,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,86.25232632265724,0.48628299998654256,128,16384,10,10
JACCARD_B128_VPOPCNTQ_PDX,196.68851937454363,0.21324599998706617,128,16384,10,10
JACCARD_B128_VPSHUFB_PDX,169.35187429297062,0.24766799998587885,128,16384,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,179.08457435588164,0.2342080000516944,128,16384,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,217.3315854041822,0.19299100000580438,128,16384,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,183.65461077414545,0.2283799999531766,128,16384,10,10
JACCARD_U64X2_C,194.68999930264326,2.154350000012073,128,16384,100,10
JACCARD_B128_VPSHUFB_SAD,59.011536946032734,7.107600000040293,128,16384,100,10
JACCARD_B128_VPOPCNTQ,85.72550940042251,4.892713999993248,128,16384,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,70.3929366462664,5.958415999998579,128,16384,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,112.39322881180001,3.731812000012269,128,16384,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,87.17799067024993,4.811195999991469,128,16384,100,10
